ENSG00000235501	RP4-639F20.1
ENSG00000230427	RP11-313A24.1
ENSG00000226026	RP11-57H12.3
ENSG00000228852	RP11-57H12.5
ENSG00000228504	RP4-586O15.1
ENSG00000230434	RP11-14O19.1
ENSG00000237954	RP11-14O19.2
ENSG00000233907	RP4-617C6.1
ENSG00000228971	RP11-286B14.1
ENSG00000271252	RP11-286B14.2
ENSG00000237435	RP11-147C23.1
ENSG00000231987	RP5-898J17.1
ENSG00000232878	DPYD-AS1
ENSG00000235777	DPYD-AS2
ENSG00000259946	RP11-490G2.2
ENSG00000225206	MIR137HG
ENSG00000226053	RP5-1070A16.1
ENSG00000232825	RP5-896L10.1
ENSG00000224445	RP11-413P11.1
ENSG00000228084	RP5-884G6.2
ENSG00000241073	RP4-714D9.2
ENSG00000224616	RP11-305E17.6
ENSG00000223906	RP5-837M10.2
ENSG00000228086	RP5-837M10.4
ENSG00000230402	RP11-84O12.4
ENSG00000273204	RP4-549L20.3
ENSG00000235795	RP11-421L21.2
ENSG00000233184	RP11-421L21.3
ENSG00000225938	RP4-575N6.4
ENSG00000231671	RP11-157N3.1
ENSG00000226715	RP11-411H5.1
ENSG00000233359	RP11-202K23.1
ENSG00000230864	RP5-936J12.1
ENSG00000230759	RP11-153F1.2
ENSG00000224613	RP11-153F1.1
ENSG00000230768	RP11-251P6.1
ENSG00000233047	RP11-24P14.1
ENSG00000237480	RP5-947P14.1
ENSG00000237460	RP11-233E12.1
ENSG00000230489	VAV3-AS1
ENSG00000226822	RP11-356N1.2
ENSG00000260879	RP11-483I13.5
ENSG00000238122	RP11-483I13.2
ENSG00000224698	RP11-131J3.1
ENSG00000232971	RP11-293A10.3
ENSG00000203897	SPATA42
ENSG00000273382	RP5-1065J22.8
ENSG00000270066	SCARNA2
ENSG00000254942	RP5-1160K1.8
ENSG00000225113	RP5-1160K1.3
ENSG00000228703	RP5-1160K1.6
ENSG00000260246	AC000032.2
ENSG00000241720	RP4-735C1.4
ENSG00000228420	RP4-735C1.6
ENSG00000235005	RP11-195M16.1
ENSG00000261055	RP11-195M16.3
ENSG00000258634	RP4-773N10.4
ENSG00000258673	RP4-773N10.6
ENSG00000227091	RP5-1028L10.1
ENSG00000235526	RP5-1028L10.2
ENSG00000224965	KCNC4-AS1
ENSG00000227963	RP5-1074L1.1
ENSG00000273373	RP5-1074L1.4
ENSG00000224699	LAMTOR5-AS1
ENSG00000270380	RP11-470L19.5
ENSG00000235407	RP11-470L19.2
ENSG00000259834	RP11-284N8.3
ENSG00000232811	RP11-96K19.2
ENSG00000273010	RP11-96K19.5
ENSG00000272982	RP5-1180E21.4
ENSG00000273221	RP5-1180E21.5
ENSG00000229283	RP5-1125M8.2
ENSG00000231346	LINC01160
ENSG00000227811	FAM212B-AS1
ENSG00000237556	KCND3-AS1
ENSG00000231437	RP11-88H9.2
ENSG00000231246	RP5-965F6.2
ENSG00000273483	RP4-671G15.2
ENSG00000225075	RP11-426L16.3
ENSG00000261595	RP11-426L16.9
ENSG00000215866	RP11-426L16.8
ENSG00000224167	RP3-522D1.1
ENSG00000226419	SLC16A1-AS1
ENSG00000238198	RP11-31F15.2
ENSG00000231128	RP5-1073O3.2
ENSG00000226167	AP4B1-AS1
ENSG00000235527	RP5-1073O3.7
ENSG00000232895	RP4-543J13.1
ENSG00000233730	RP4-666F24.3
ENSG00000228035	RP4-663N10.1
ENSG00000228127	RP11-12L8.1
ENSG00000237993	RP11-159M11.2
ENSG00000235933	RP5-1185H19.2
ENSG00000233154	RP4-655J12.4
ENSG00000230381	RP4-655J12.5
ENSG00000224950	RP5-1086K13.1
ENSG00000203864	C1orf137
ENSG00000272715	RP4-753F5.1
ENSG00000236137	RP11-27K13.3
ENSG00000235202	RP11-39H13.1
ENSG00000271427	RP11-188D8.1
ENSG00000236866	AL157902.3
ENSG00000226172	RP4-712E4.1
ENSG00000239216	RP4-712E4.2
ENSG00000224238	WARS2-IT1
ENSG00000231365	RP11-418J17.1
ENSG00000227712	RP11-418J17.3
ENSG00000232650	RP5-834N19.1
ENSG00000273406	RP11-114O18.1
ENSG00000227193	RP11-439A17.4
ENSG00000234998	RP11-439A17.10
ENSG00000233029	RP11-439A17.9
ENSG00000230806	RP11-343N15.1
ENSG00000227082	AL592494.5
ENSG00000228826	RP11-344P13.4
ENSG00000272583	RP11-344P13.6
ENSG00000224857	RP11-344P13.1
ENSG00000224363	RP11-289H16.1
ENSG00000254539	RP4-791M13.3
ENSG00000255148	RP4-791M13.4
ENSG00000254913	RP4-791M13.5
ENSG00000272755	RP11-326G21.1
ENSG00000233396	RP11-458D21.1
ENSG00000234222	RP11-315I20.1
ENSG00000244619	RP11-315I20.3
ENSG00000234225	RP4-704D21.2
ENSG00000237188	RP11-337C18.8
ENSG00000227139	RP11-533N14.3
ENSG00000234190	RP11-433J22.3
ENSG00000273059	XXyac-YX155B6.7
ENSG00000232265	XXyac-YX155B6.5
ENSG00000234283	RP11-495P10.6
ENSG00000238107	RP11-495P10.5
ENSG00000224481	RP11-495P10.3
